borough_ord,age_ord,folplc_ord,percent,dur,ID,traj,fit,se.fit
Bury,26-45,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1512.2973711952013,89.68033255581278
Manchester,26-45,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1434.6793117048824,83.21166114290844
Oldham,26-45,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1504.6719929969465,83.88661060115956
Rochdale,26-45,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1557.6010070067173,83.57973909623435
Salford,26-45,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1423.9915363409436,85.41463227866561
Stockport,26-45,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1495.6952375201895,85.99849262962977
Tameside,26-45,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1521.9554006515161,85.2234952010924
Trafford,26-45,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1440.4549728140582,86.23358530992516
Wigan,26-45,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1466.3955307528988,84.64043775421399
Bolton,46-65,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1590.9754200289708,83.14488737572253
Bury,46-65,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1578.6789005445767,88.6802380187148
Manchester,46-65,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1501.060841054258,82.86032995250615
Oldham,46-65,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1571.0535223463219,84.57418623950471
Rochdale,46-65,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1623.9825363560929,83.27957036822995
Salford,46-65,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1490.373065690319,84.84996844545795
Stockport,46-65,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1562.0767668695648,85.19148992768446
Tameside,46-65,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1588.3369300008917,85.75492919728745
Trafford,46-65,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1506.8365021634336,85.38667455771281
Wigan,46-65,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1532.7770601022742,83.42814625033265
Bolton,66+,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1636.8651941424714,84.31551870754816
Bury,66+,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1624.5686746580775,89.75180099950516
Manchester,66+,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1546.9506151677585,84.71653615598954
Oldham,66+,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1616.9432964598227,84.77716524052384
Rochdale,66+,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1669.8723104695935,84.18911759178303
Salford,66+,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1536.2628398038198,86.52924532658058
Stockport,66+,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1607.9665409830657,86.96138111270051
Tameside,66+,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1634.2267041143923,86.65684377456127
Trafford,66+,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1552.7262762769344,87.87899902942216
Wigan,66+,apical,21.224489795918366,0.1651312202852615,187_TRA_M_18,3,1578.666834215775,85.46639226164346
Bolton,18-25,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1451.6397962922224,80.76315891733582
Bury,18-25,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1436.3314814198245,87.85029477458976
Manchester,18-25,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1360.2896233030556,81.67574899148391
Oldham,18-25,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1429.7780381964194,82.46660964744383
Rochdale,18-25,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1484.050806788649,82.33666398709944
Salford,18-25,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1348.4364332418106,84.62548317412785
Stockport,18-25,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1421.3497782432155,82.59102344482949
Tameside,18-25,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1446.252926607447,85.02995266639942
Trafford,18-25,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1364.7085740704435,84.73023694335293
Wigan,18-25,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1391.6902334829053,81.96442025016087
Bolton,26-45,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1525.7426237284794,79.30646559520507
Bury,26-45,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1510.4343088560815,85.87443673968713
Manchester,26-45,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1434.3924507393126,79.42667535662083
Oldham,26-45,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1503.8808656326764,80.13571076623752
Rochdale,26-45,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1558.153634224906,79.79775243152453
Salford,26-45,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1422.5392606780676,81.58146851745465
Stockport,26-45,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1495.4526056794725,82.1709456154594
Tameside,26-45,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1520.355754043704,81.46067963899628
Trafford,26-45,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1438.8114015067006,82.45904300097072
Wigan,26-45,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1465.7930609191624,80.82752161624516
Bolton,46-65,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1593.3486672911533,79.38861169986257
Bury,46-65,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1578.0403524187552,84.87338511974572
Manchester,46-65,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1501.9984943019865,79.07032208566588
Oldham,46-65,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1571.48690919535,80.8055631499174
Rochdale,46-65,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1625.75967778758,79.48988359033949
Salford,46-65,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1490.1453042407413,81.01712134715399
Stockport,46-65,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1563.0586492421462,81.36252814260749
Tameside,46-65,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1587.961797606378,81.97589523407804
Trafford,46-65,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1506.4174450693743,81.60766412121099
Wigan,46-65,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1533.3991044818363,79.62305542640875
Bolton,66+,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1640.031538316975,80.55221913294311
Bury,66+,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1624.7232234445771,85.93591571306058
Manchester,66+,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1548.6813653278082,80.90929375107909
Oldham,66+,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1618.169780221172,81.00930211872469
Rochdale,66+,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1672.4425488134016,80.3946391256416
Salford,66+,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1536.8281752665632,82.67929351538481
Stockport,66+,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1609.741520267968,83.11562987360612
Tameside,66+,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1634.6446686321997,82.87202962846494
Trafford,66+,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1553.1003160951961,84.08022389721062
Wigan,66+,apical,22.448979591836736,0.1651312202852615,187_TRA_M_18,3,1580.0819755076582,81.63741564075303
Bolton,18-25,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1452.6769019842225,77.39735419144216
Bury,18-25,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1434.3567919182403,84.40762072070638
Manchester,18-25,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1359.8505597484182,78.26503596359716
Oldham,18-25,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1428.8752840124862,79.0817436571655
Rochdale,18-25,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1484.4887460473335,78.92552104677173
Salford,18-25,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1346.827406925943,81.16449023914069
Stockport,18-25,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1420.958259995313,79.15459467335913
Tameside,18-25,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1444.5416519423181,81.62025863175884
Trafford,18-25,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1362.9533752592945,81.32077428792604
Wigan,18-25,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1391.067601552723,78.53792467010535
Bolton,26-45,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1526.8908780389784,75.94516278687968
Bury,26-45,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1508.5707679729962,82.44685240392913
Manchester,26-45,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1434.064535803174,76.02704972484383
Oldham,26-45,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1503.089260067242,76.76407471757517
Rochdale,26-45,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1558.7027221020894,76.4007866960896
Salford,26-45,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1421.041382980699,78.13958157081142
Stockport,26-45,apical,23.6734693877551,0.1651312202852615,187_TRA_M_18,3,1495.172236050069,78.73099169799931
